
DOY, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
1, -56.000, 53.000, -202.000, 0.000, -38.000, -48.000, -369.000, -17.000, -234.000
2, -80.000, -97.000, -137.000, 19.000, 38.000, -68.000, -170.000, -2.000, -13.000
3, -99.000, -128.000, -89.000, -28.000, 54.000, -87.000, -506.000, 2.000, -120.000
4, -176.000, -48.000, -85.000, -180.000, -11.000, -71.000, -208.000, -64.000, -151.000
5, -25.000, -10.000, -258.000, -30.000, -107.000, -83.000, -5.000, -108.000, -122.000
6, -28.000, -153.000, -200.000, -33.000, -85.000, -108.000, -42.000, -36.000, -274.000
7, -251.000, -376.000, -36.000, -16.000, -62.000, 33.000, -127.000, 46.000, -442.000
8, -16.000, -420.000, -156.000, -106.000, -51.000, -156.000, -138.000, 25.000, -326.000
9, 45.000, -67.000, -120.000, -25.000, -48.000, 44.000, 41.000, -4.000, -181.000
10, -23.000, -63.000, -206.000, 1.000, -177.000, 50.000, 20.000, -91.000, -494.000
11, -97.000, -27.000, -284.000, -31.000, -51.000, 2.000, -9.000, -396.000, -421.000
12, -59.000, -9.000, -241.000, -27.000, 41.000, 1.000, 10.000, -119.000, -109.000
13, -104.000, -43.000, 4.000, -50.000, 38.000, 2.000, 22.000, -28.000, -37.000
14, -255.000, -66.000, -84.000, -153.000, -2.000, 32.000, 45.000, -105.000, -302.000
15, -314.000, -33.000, -281.000, -276.000, 3.000, 61.000, 18.000, -112.000, -28.000
16, -191.000, -300.000, -248.000, -41.000, -15.000, 36.000, 3.000, -38.000, -170.000
17, -707.000, -633.000, -241.000, -197.000, -56.000, 8.000, 12.000, 91.000, -385.000
18, -419.000, -292.000, -212.000, -86.000, -6.000, 13.000, -95.000, 14.000, -253.000
19, -172.000, -107.000, -53.000, -2.000, -2.000, -3.000, -25.000, -2.000, -358.000
20, -287.000, -165.000, -318.000, -37.000, -75.000, 2.000, -370.000, -32.000, -89.000
21, -228.000, -116.000, -177.000, -80.000, -33.000, -12.000, -11.000, 44.000, -115.000
22, -69.000, -323.000, -22.000, -120.000, -1.000, -55.000, -480.000, -1.000, -11.000
23, -342.000, -8.000, 18.000, -109.000, -48.000, 4.000, -136.000, -20.000, -47.000
24, -44.000, -3.000, -76.000, -45.000, -71.000, -138.000, -350.000, -15.000, -549.000
25, -49.000, -19.000, -213.000, -20.000, -7.000, -54.000, -45.000, -16.000, -183.000
26, -134.000, -45.000, -130.000, -24.000, -22.000, 6.000, 59.000, -9.000, -1.000
27, -40.000, -160.000, -424.000, 26.000, -124.000, 30.000, -15.000, 2.000, -96.000
28, -277.000, -168.000, -31.000, -11.000, -34.000, 96.000, -159.000, -21.000, -259.000
29, -77.000, -42.000, -107.000, -10.000, 64.000, 54.000, -26.000, -6.000, -160.000
30, -23.000, 23.000, -11.000, 8.000, 22.000, 20.000, -31.000, -17.000, -11.000
31, -27.000, 8.000, 23.000, -60.000, 0.000, -5.000, -63.000, -46.000, -14.000
32, -89.000, -199.000, -18.000, -56.000, -6.000, -3.000, -2.000, -38.000, -78.000
33, -10.000, -279.000, -90.000, -41.000, 1.000, 6.000, -111.000, -19.000, -56.000
34, 14.000, -122.000, -207.000, -7.000, 0.000, -5.000, -79.000, -49.000, -62.000
35, 50.000, -48.000, -183.000, -185.000, -116.000, -90.000, -129.000, 40.000, -375.000
36, 28.000, -21.000, -290.000, -365.000, -260.000, -138.000, -54.000, -1.000, -239.000
37, 1.000, -11.000, -29.000, -252.000, -156.000, -210.000, -210.000, 40.000, -51.000
38, -5.000, -45.000, -99.000, -77.000, -97.000, -26.000, -232.000, 173.000, -7.000
39, 65.000, -247.000, -80.000, -127.000, -109.000, 18.000, -192.000, 19.000, -18.000
40, 14.000, -126.000, -126.000, -8.000, -104.000, 20.000, -245.000, 6.000, -3.000
41, 0.000, -11.000, -71.000, -28.000, -96.000, 38.000, -45.000, 1.000, -91.000
42, 15.000, -22.000, -193.000, -100.000, -216.000, 14.000, -19.000, -64.000, -382.000
43, 2.000, -29.000, -62.000, -82.000, -17.000, 11.000, 2.000, -127.000, -216.000
44, 1.000, -120.000, -140.000, 8.000, -144.000, 14.000, 15.000, -63.000, -359.000
45, 56.000, -467.000, -14.000, 29.000, -71.000, -9.000, -1.000, -226.000, -8.000
46, 2.000, -439.000, -69.000, -11.000, -235.000, 2.000, -49.000, -104.000, -167.000
47, 7.000, -42.000, -62.000, -63.000, -247.000, 77.000, -42.000, -11.000, 10.000
48, 51.000, 8.000, -157.000, -62.000, -25.000, 9.000, -223.000, -26.000, -23.000
49, 91.000, 0.000, -100.000, -6.000, -75.000, -60.000, 30.000, -20.000, -89.000
50, 8.000, -22.000, -216.000, 12.000, -41.000, 14.000, -81.000, 21.000, -22.000
51, -17.000, 1.000, -89.000, 19.000, 56.000, -7.000, -37.000, -13.000, -19.000
52, 3.000, 41.000, -139.000, -1.000, 24.000, -24.000, 46.000, 31.000, -16.000
53, 9.000, 17.000, -9.000, -11.000, -2.000, -29.000, 128.000, 89.000, -63.000
54, -35.000, 14.000, -138.000, 3.000, -81.000, 54.000, -22.000, 9.000, -102.000
55, 34.000, -9.000, -37.000, 22.000, -192.000, -205.000, -104.000, -44.000, -43.000
56, 49.000, 12.000, -66.000, 3.000, -216.000, 86.000, 247.000, -5.000, -178.000
57, 3.000, 15.000, -19.000, -6.000, -125.000, -109.000, 28.000, -17.000, -110.000
