mm/dd, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
1-Jan,-56,53,-202,0,-38,-48,-369,-17,-234
2-Jan,-80,-97,-137,19,38,-68,-170,-2,-13
3-Jan,-99,-128,-89,-28,54,-87,-506,2,-120
4-Jan,-176,-48,-85,-180,-11,-71,-208,-64,-151
5-Jan,-25,-10,-258,-30,-107,-83,-5,-108,-122
6-Jan,-28,-153,-200,-33,-85,-108,-42,-36,-274
7-Jan,-251,-376,-36,-16,-62,33,-127,46,-442
8-Jan,-16,-420,-156,-106,-51,-156,-138,25,-326
9-Jan,45,-67,-120,-25,-48,44,41,-4,-181
10-Jan,-23,-63,-206,1,-177,50,20,-91,-494
11-Jan,-97,-27,-284,-31,-51,2,-9,-396,-421
12-Jan,-59,-9,-241,-27,41,1,10,-119,-109
13-Jan,-104,-43,4,-50,38,2,22,-28,-37
14-Jan,-255,-66,-84,-153,-2,32,45,-105,-302
15-Jan,-314,-33,-281,-276,3,61,18,-112,-28
16-Jan,-191,-300,-248,-41,-15,36,3,-38,-170
17-Jan,-707,-633,-241,-197,-56,8,12,91,-385
18-Jan,-419,-292,-212,-86,-6,13,-95,14,-253
19-Jan,-172,-107,-53,-2,-2,-3,-25,-2,-358
20-Jan,-287,-165,-318,-37,-75,2,-370,-32,-89
21-Jan,-228,-116,-177,-80,-33,-12,-11,44,-115
22-Jan,-69,-323,-22,-120,-1,-55,-480,-1,-11
23-Jan,-342,-8,18,-109,-48,4,-136,-20,-47
24-Jan,-44,-3,-76,-45,-71,-138,-350,-15,-549
25-Jan,-49,-19,-213,-20,-7,-54,-45,-16,-183
26-Jan,-134,-45,-130,-24,-22,6,59,-9,-1
27-Jan,-40,-160,-424,26,-124,30,-15,2,-96
28-Jan,-277,-168,-31,-11,-34,96,-159,-21,-259
29-Jan,-77,-42,-107,-10,64,54,-26,-6,-160
30-Jan,-23,23,-11,8,22,20,-31,-17,-11
31-Jan,-27,8,23,-60,0,-5,-63,-46,-14
1-Feb,-89,-199,-18,-56,-6,-3,-2,-38,-78
2-Feb,-10,-279,-90,-41,1,6,-111,-19,-56
3-Feb,14,-122,-207,-7,0,-5,-79,-49,-62
4-Feb,50,-48,-183,-185,-116,-90,-129,40,-375
5-Feb,28,-21,-290,-365,-260,-138,-54,-1,-239
6-Feb,1,-11,-29,-252,-156,-210,-210,40,-51
7-Feb,-5,-45,-99,-77,-97,-26,-232,173,-7
8-Feb,65,-247,-80,-127,-109,18,-192,19,-18
9-Feb,14,-126,-126,-8,-104,20,-245,6,-3
10-Feb,0,-11,-71,-28,-96,38,-45,1,-91
11-Feb,15,-22,-193,-100,-216,14,-19,-64,-382
12-Feb,2,-29,-62,-82,-17,11,2,-127,-216
13-Feb,1,-120,-140,8,-144,14,15,-63,-359
14-Feb,56,-467,-14,29,-71,-9,-1,-226,-8
15-Feb,2,-439,-69,-11,-235,2,-49,-104,-167
16-Feb,7,-42,-62,-63,-247,77,-42,-11,10
17-Feb,51,8,-157,-62,-25,9,-223,-26,-23
18-Feb,91,0,-100,-6,-75,-60,30,-20,-89
19-Feb,8,-22,-216,12,-41,14,-81,21,-22
20-Feb,-17,1,-89,19,56,-7,-37,-13,-19
21-Feb,3,41,-139,-1,24,-24,46,31,-16
22-Feb,9,17,-9,-11,-2,-29,128,89,-63
23-Feb,-35,14,-138,3,-81,54,-22,9,-102
24-Feb,34,-9,-37,22,-192,-205,-104,-44,-43
25-Feb,49,12,-66,3,-216,86,247,-5,-178
26-Feb,3,15,-19,-6,-125,-109,28,-17,-110
27-Feb,10,22,-110,12,-1,-45,-40,-83,-6
28-Feb,-153,-3,-74,4,-48,-133,-283,-26,-63
Feb-29,,,-137,,,,-15,,
1-Mar,-38,-12,-396,17,-84,-74,8,-159,-138
2-Mar,-8,-118,-249,23,-50,49,-33,-466,-35
3-Mar,12,-24,-273,-2,1,28,10,-64,25
4-Mar,2,-34,-398,1,-36,-60,-18,-257,-28
5-Mar,0,9,-256,-1,-114,-64,118,0,-3
6-Mar,-12,-15,-147,1,-53,13,49,1,0
7-Mar,-55,-26,-13,17,-126,0,-6,-45,87
8-Mar,-1,0,-102,13,-173,12,-48,-77,91
9-Mar,3,-63,-539,19,5,1,-32,-241,-130
10-Mar,-57,-1,-191,-36,39,2,-117,-50,-190
11-Mar,-73,-127,-134,-119,-15,-48,-123,-235,-64
12-Mar,-207,-124,-148,-58,7,-87,-362,-148,-90
13-Mar,-148,-49,-86,-71,-51,-81,-88,-536,-89
14-Mar,-34,-52,-27,-34,-9,-69,-401,-343,-226
15-Mar,-16,4,-2,17,-175,-5,-194,-230,-87
16-Mar,19,-71,16,-27,60,82,-23,-20,-213
17-Mar,7,-61,-55,-3,72,43,41,-257,40
18-Mar,-1,35,-148,-48,-6,16,6,-134,17
19-Mar,9,-2,-46,-108,47,-260,-175,-15,-43
20-Mar,5,-106,-100,-49,15,27,-55,13,-124
21-Mar,-10,-141,-62,-19,6,55,-28,3,-18
22-Mar,-54,-54,3,-45,0,19,-35,-14,16
23-Mar,-67,-237,-129,-8,-10,-38,-41,-76,-7
24-Mar,2,-115,13,-77,-165,-78,-24,-32,-38
25-Mar,-23,-37,-7,-115,-121,-32,3,-52,12
26-Mar,-38,-166,-22,-36,-30,0,-125,-62,0
27-Mar,37,-79,67,-4,-36,2,-287,-63,-215
28-Mar,17,-137,38,-79,-193,8,-359,-107,-250
29-Mar,4,5,16,-61,-86,17,-83,-72,-104
30-Mar,30,38,2,-35,-61,20,-1,-16,-7
31-Mar,13,-30,13,20,-67,4,-9,30,12
1-Apr,72,38,37,15,16,4,-50,72,-115
2-Apr,29,41,5,-35,-16,1,-373,101,-269
3-Apr,-17,-11,-20,-26,-64,0,-12,-83,-42
4-Apr,-110,-344,14,-34,-15,-31,12,-5,-267
5-Apr,-173,-33,-46,-6,-15,-92,8,-20,-17
6-Apr,-102,-42,-15,0,-19,-36,-4,12,19
7-Apr,-415,-214,-109,11,-32,75,-63,38,-39
8-Apr,-21,-41,109,6,20,13,-90,23,152
9-Apr,-75,-166,33,-9,16,-80,-12,-20,17
10-Apr,-222,-27,15,-38,17,66,0,-146,-7
11-Apr,-92,-12,-4,12,32,22,-6,-1,3
12-Apr,-49,-35,-114,-52,27,8,-37,-87,33
13-Apr,-136,-42,-191,-33,-3,54,40,-51,36
14-Apr,-19,-32,26,17,40,24,25,-67,14
15-Apr,27,-11,-28,-12,-11,27,-68,-16,7
16-Apr,62,-32,-50,3,-48,13,-26,46,12
17-Apr,8,-62,-68,74,12,7,-123,22,-7
18-Apr,-6,-99,-10,34,-32,-38,-19,28,-44
19-Apr,0,-145,7,34,-96,61,-96,4,-22
20-Apr,-49,-10,8,35,-83,44,4,28,149
21-Apr,14,-64,-13,107,16,21,-3,35,146
22-Apr,11,-84,-2,11,-35,20,6,5,82
23-Apr,-6,-28,15,-29,-85,32,51,-13,-14
24-Apr,13,8,56,-1,-46,34,-41,-21,-1
25-Apr,7,-51,20,-7,3,34,-119,0,-45
26-Apr,-5,36,-21,-77,-70,10,-1,-5,-228
27-Apr,6,39,14,-87,-10,3,-73,-80,-6
28-Apr,16,15,15,2,-44,25,-13,6,48
29-Apr,40,-37,68,-7,-63,96,-5,44,111
30-Apr,42,33,16,-8,-51,34,25,19,31
1-May,30,-23,-6,55,-37,6,5,-4,111
2-May,17,-77,4,46,3,39,-14,13,-2
3-May,8,-10,52,17,-59,60,38,22,270
4-May,-2,1,72,-20,-9,24,27,-1,26
5-May,14,58,51,2,16,7,-3,2,50
6-May,12,27,60,23,21,13,-2,-31,16
7-May,4,9,135,26,-3,9,-2,0,14
8-May,-16,7,132,10,-40,14,73,31,19
9-May,-26,12,28,20,2,38,53,23,13
10-May,43,-4,17,48,13,9,18,-11,62
11-May,52,-22,29,44,1,-29,19,-2,61
12-May,46,-12,6,24,-13,-31,15,-78,24
13-May,11,16,-2,11,2,-20,48,6,39
14-May,7,8,8,23,18,-25,41,31,44
15-May,20,-18,34,43,-15,-18,89,7,32
16-May,31,62,29,30,-2,-1,98,3,10
17-May,20,8,13,9,-1,-13,81,21,1
18-May,14,-6,71,20,4,15,14,30,-57
19-May,13,11,41,38,21,50,-2,15,-262
20-May,16,18,16,45,36,40,-68,22,-109
21-May,9,26,10,49,9,65,-57,28,19
22-May,20,32,3,40,-3,7,-21,7,40
23-May,55,133,13,38,15,-2,4,15,-13
