Year,DECJAN,JANFEB,FEBMAR,MARAPR,APRMAY,MAYJUN,JUNJUL,JULAUG,AUGSEP,SEPOCT,OCTNOV,NOVDEC
1979,0.47,0.26,-0.08,0.19,0.26,-0.15,-0.15,0.42,0.38,0.25,0.51,0.64
1980,0.34,0.18,0.4,0.57,0.52,0.61,0.61,0.15,0.2,0.09,-0.03,-0.06
1981,-0.33,-0.24,0.33,0.39,-0.28,-0.61,-0.52,-0.32,-0.02,-0.12,-0.22,-0.16
1982,-0.38,-0.47,-0.28,-0.35,-0.04,0.76,1.78,2.02,1.82,1.93,2.28,2.48
1983,2.57,2.74,2.69,2.82,2.92,2.06,0.79,-0.08,-0.39,-0.42,-0.42,-0.44
1984,-0.51,-0.52,-0.11,0.09,-0.45,-0.71,-0.32,-0.17,-0.13,-0.17,-0.59,-0.32
1985,-0.26,-0.58,-0.59,-0.77,-1.22,-0.59,-0.05,-0.38,-0.44,-0.05,-0.02,-0.34
1986,-0.37,-0.31,-0.4,-0.53,-0.19,0.09,0.53,1.02,1.28,0.56,0.64,1.05
1987,0.99,1.08,1.46,1.66,1.91,2.02,1.92,1.49,1.24,1.13,0.86,0.75
1988,0.6,0.32,0.19,-0.01,-0.36,-1.2,-1.78,-1.79,-1.78,-1.54,-1.61,-1.49
1989,-1.09,-1.05,-1.2,-1.09,-1.05,-1.03,-1.13,-0.75,-0.62,-0.57,-0.34,-0.02
1990,0.11,0.43,0.61,0.16,0.02,0.04,0.17,0.06,0.2,-0.06,0.11,0.27
1991,0.16,0.08,0.2,0.19,0.33,0.87,0.87,0.43,0.62,1.09,1.17,1.29
1992,1.7,1.59,1.72,1.98,1.71,1.58,0.76,0.09,0.49,0.79,0.71,0.76
1993,0.81,0.91,0.77,0.97,1.48,1.5,0.91,0.63,0.64,0.94,0.69,0.26
1994,0.02,-0.17,-0.21,0.01,-0.01,0.23,0.87,0.83,1.05,1.45,0.99,0.87
1995,0.77,0.47,0.13,0.16,0.14,-0.02,-0.27,-0.65,-0.86,-0.66,-0.67,-0.82
1996,-0.84,-0.82,-0.65,-0.69,-0.82,-0.91,-0.78,-0.62,-0.28,-0.33,-0.31,-0.46
1997,-0.66,-0.72,-0.29,0.16,0.68,2.25,2.13,2.21,2.19,2.04,2.09,2.05
1998,2.24,2.43,2.28,2.58,2.28,0.39,-1.4,-1.71,-1.29,-1.19,-1.28,-1.24
1999,-1.25,-1.18,-1.1,-1.15,-1.33,-1.26,-1.19,-1.08,-1.17,-1.31,-1.33,-1.43
2000,-1.26,-1.27,-1.36,-0.91,-0.95,-1.14,-0.59,-0.09,-0.37,-0.56,-0.91,-0.8
2001,-0.82,-0.86,-0.79,-0.6,-0.56,-0.7,-0.02,0.33,-0.07,-0.25,-0.32,0.02
2002,0.07,-0.25,-0.2,-0.35,-0.1,0.4,0.43,0.97,0.85,0.81,0.77,0.86
2003,0.8,0.63,0.53,-0.08,-0.59,-0.09,0,0.01,0.14,0.25,0.28,0.1
2004,0.16,-0.04,-0.44,-0.23,-0.44,-0.34,0.43,0.73,0.53,0.34,0.51,0.5
2005,0.09,0.6,0.81,0.12,0.18,0.2,-0.03,-0.02,-0.05,-0.7,-0.75,-0.72
2006,-0.68,-0.49,-0.61,-0.83,-0.43,-0.24,0.1,0.56,0.64,0.69,0.91,0.59
2007,0.62,0.39,-0.22,-0.36,-0.44,-0.85,-0.77,-0.93,-1.09,-1.14,-1.13,-1.22
2008,-1.08,-1.27,-1.53,-1.11,-0.97,-0.85,-0.87,-1.08,-1.05,-1.1,-1.03,-1.05
2009,-1,-0.85,-0.93,-0.8,-0.71,-0.07,0.48,0.52,0.4,0.57,1.05,0.96
2010,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-2.17,-2.02,-1.9
2011,-1.82,-1.62,-1.79,-1.72,-1.27,-1.05,-0.83,-0.87,-1.15,-1.36,-1.2,-1.23
2012,-1.07,-0.68,-0.59,-0.42,-0.34,-0.28,0.31,-0.04,-0.31,-0.21,-0.07,-0.06
2013,-0.05,-0.07,-0.14,-0.36,-0.7,-1.17,-0.85,-0.51,-0.38,-0.17,-0.18,-0.35
2014,-0.5,-0.43,-0.08,-0.16,-0.18,0,0.33,0.16,-0.14,0.07,0.34,0.33
2015,0.22,0.05,0.13,0.34,0.94,1.86,1.75,1.93,2.22,2.12,1.9,1.91
2016,1.95,1.82,1.33,1.33,1.24,0.35,-0.51,-0.29,-0.35,-0.61,-0.52,-0.35
2017,-0.41,-0.41,-0.58,-0.2,0.18,-0.28,-0.68,-0.76,-0.8,-0.63,-0.63,-0.74
2018,-0.78,-0.7,-0.79,-1.3,-0.93,-0.51,-0.16,0.36,0.52,0.41,0.27,0.14
