Year,Island,Site,Viable,Occupied,Egg,Hatch,LastCheck
2010,DI,Boathouse,22,15,15,13,10
2010,DI,Catwalk.Salmon,13,7,5,5,4
2010,DI,Catwalk.Willow,13,8,8,8,8
2010,DI,Salmon.Sequel,11,7,7,5,3
2010,DI,SW.Point,14,10,8,8,7
2010,DI,Willow.Gully,11,10,10,10,10
2011,DI,Boathouse,9,8,7,4,4
2011,DI,Catwalk.Salmon,7,7,7,7,7
2011,DI,Catwalk.Willow,12,6,6,6,6
2011,DI,Salmon.Sequel,8,3,2,2,2
2011,DI,SW.Point,19,16,11,8,8
2011,DI,Willow.Gully,9,6,6,6,6
2012,DI,Boathouse,26,16,13,10,9
2012,DI,Catwalk.Salmon,7,6,5,3,2
2012,DI,Catwalk.Willow,13,3,3,3,3
2012,DI,Salmon.Sequel,9,8,7,7,7
2012,DI,SW.Point,22,14,12,10,10
2012,DI,Willow.Gully,11,9,8,7,7
2013,DI,Boathouse,11,11,8,7,7
2013,DI,Catwalk.Salmon,10,8,7,7,7
2013,DI,Catwalk.Willow,10,5,5,5,5
2013,DI,Salmon.Sequel,7,5,5,5,5
2013,DI,SW.Point,15,11,10,10,10
2013,DI,Willow.Gully,13,7,7,7,7
2014,DI,Boathouse,20,13,12,12,12
2014,DI,Catwalk.Salmon,10,5,5,5,5
2014,DI,Catwalk.Willow,12,6,5,5,5
2014,DI,Salmon.Sequel,10,6,4,4,4
2014,DI,SW.Point,18,10,5,4,4
2014,DI,Willow.Gully,12,9,7,7,7
2015,DI,Boathouse,15,7,5,4,4
2015,DI,Catwalk.Salmon,10,6,5,5,5
2015,DI,Catwalk.Willow,11,7,5,5,5
2015,DI,Grassy.Knoll,15,11,9,8,8
2015,DI,Salmon.Sequel,9,4,4,3,1
2015,DI,SW.Point,18,12,10,10,9
2015,DI,Willow.Gully,14,9,8,8,8
2016,DI,Boathouse,19,12,10,9,8
2016,DI,Catwalk.Salmon,10,9,9,9,8
2016,DI,Catwalk.Willow,14,10,9,9,9
2016,DI,Grassy.Knoll,15,8,8,6,5
2016,DI,Salmon.Sequel,9,7,6,6,6
2016,DI,SW.Point,18,13,11,9,8
2016,DI,Willow.Gully,14,13,11,10,10
2017,DI,Boathouse,19,10,8,8,8
2017,DI,Catwalk.Salmon,10,8,8,7,7
