Year,Island,viable,occ,egg,hatch,fledge,Burr.Occ,Burr.Egg,RS,bo.asin,be.asin,rs.asin,sst.sep,sst.oct,sst.nov,sst.dec,sst.jan,sst.feb,sst.mar,sst.april,sst.may,sst.june,sst.july,sst.aug,sst.spring,sst.summer,sst.lag1,sst.lag2,mei.sep,mei.oct,mei.nov,mei.dec,mei.jan,mei.feb,mei.mar,mei.april,mei.may,mei.june,mei.july,mei.aug,mei.avg,st.onset,st.length,cu.sep,cu.oct,cu.nov,cu.dec,cu.jan,cu.feb,cu.mar,cu.april,cu.may,cu.june,cu.july,cu.aug,cu.spring,cu.summer,cua.sep,cua.oct,cua.nov,cua.dec,cua.jan,cua.feb,cua.mar,cua.april,cua.may,cua.june,cua.july,cua.aug,cua.spring,cua.summer,pdo.sep,pdo.oct,pdo.nov,pdo.dec,pdo.jan,pdo.feb,pdo.mar,pdo.april,pdo.may,pdo.june,pdo.july,pdo.aug,pdo.index
2010,DI,84,57,53,49,42,0.678571429,0.630952381,0.79245283,0.745816017,0.682780177,0.91482003,13.1047334,12.4227238,9.85499954,8.69966507,8.48936367,9.65208054,9.3199358,11.0228138,11.2212753,13.4723053,14.1605482,13.7115717,10.52134163,13.78147507,11.79415225,8.947036427,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
2011,DI,64,46,39,33,33,0.71875,0.609375,0.846153846,0.802002778,0.655272089,1.008726524,14.7797356,13.8883553,10.7482948,9.16149712,8.02992153,7.96280336,7.83001709,9.54272079,11.4467211,14.3300648,15.0481415,13.5961084,9.606486327,14.32477157,13.13879523,8.38474067,-2.17,-2.02,-1.9,-1.82,-1.62,-1.79,-1.72,-1.27,-1.05,-0.83,-0.87,-1.15,-1.5175,82,190,-6,-41,-39,-159,-22,-11,-123,1,5,17,16,18,6,51,-10,-3,49,-59,68,36,-103,1,-12,-8,-18,-5,-11,-31,-1.527,-1.142,-1.303,-1.582,-1.435,-1.134,-1.036,-0.972,-0.941,-1.467,-2.173,-1.904,-1.298
2012,DI,88,56,48,40,38,0.636363636,0.545454545,0.791666667,0.689775001,0.576931345,0.913532174,13.7079344,13.3122749,10.5126181,8.07432938,8.36662102,8.15324783,7.81388569,9.40061378,10.9012585,13.6950274,14.7617159,14.0471029,9.371919323,14.16794873,12.51094247,8.198066077,-1.36,-1.2,-1.23,-1.07,-0.68,-0.59,-0.42,-0.34,-0.28,0.31,-0.04,-0.31,-0.600833333,125,174,-5,-9,-48,-4,-77,-50,-57,-15,11,2,39,11,-4,52,-9,30,39,96,13,-3,-36,-15,-6,-23,6,-11,-21,-28,-1.845,-1.638,-2.567,-2.056,-1.593,-1.12,-1.188,-0.597,-1.634,-1.28,-1.788,-1.673,-1.7048
2013,DI,66,47,42,41,41,0.712121212,0.636363636,0.976190476,0.792515024,0.689775001,1.352143128,13.8105917,11.1560469,11.068944,9.47881413,7.04674244,7.040627,7.94719839,10.0561705,13.9900322,13.2289515,15.5654469,14.8444862,10.66446703,14.54629487,12.01186087,7.855394523,-0.21,-0.07,-0.06,-0.05,-0.07,-0.14,-0.36,-0.7,-1.17,-0.85,-0.51,-0.38,-0.380833333,91,178,18,-14,-88,-53,-6,-14,-6,17,2,5,84,2,19,91,14,25,-1,47,84,33,15,17,-16,-21,50,-20,1,9,-2.127,-0.841,-0.491,-1.337,-1.179,-1.365,-1.321,-0.618,-0.463,-1.303,-1.193,-1.083,-1.1386
2014,DI,82,49,38,37,37,0.597560976,0.463414634,0.973684211,0.640455801,0.481844706,1.340874486,16.0150032,14.2444592,9.90659809,8.36629391,6.64356613,7.53441811,10.2060785,11.3270512,14.039279,13.6710472,15.4272356,14.0710945,11.85746957,14.38979243,13.38868683,7.514759383,-0.17,-0.18,-0.35,-0.5,-0.43,-0.08,-0.16,-0.18,0,0.33,0.16,-0.14,-0.141666667,126,142,-3,2,-10,-2,-17,-72,-34,-14,2,24,34,35,-12,93,-7,40,78,98,73,-24,-13,-14,-15,-2,1,13,-29,12,-0.591,-1.148,-0.856,-0.934,-0.53,-0.323,0.459,0.67,1.054,-0.243,0.311,0.217,-0.4368
2015,DI,92,56,46,43,40,0.608695652,0.5,0.869565217,0.654415562,0.523598776,1.054321186,15.3782682,15.559927,13.4326925,11.1527834,9.87934399,11.1699734,11.2666636,11.7277641,12.137166,12.5940914,15.972312,14.1263847,11.71053123,14.23092937,14.7902959,10.7340336,0.07,0.34,0.33,0.22,0.05,0.13,0.34,0.94,1.86,1.75,1.93,2.22,0.848333333,365,0,-1,-62,-49,-88,-49,-27,-18,-1,45,56,35,17,44,108,-4,-23,38,12,41,21,3,-1,28,30,2,-6,27,26,0.535,1.224,1.106,1.667,1.57,1.498,1.352,0.941,0.435,0.527,1.083,0.848,1.4386
2016,DI,99,72,64,58,54,0.727272727,0.646464646,0.84375,0.814339942,0.702941456,1.004231996,15.2256508,14.3710737,12.0881367,9.46404934,8.33615303,10.3725004,10.5744658,12.2899895,11.8191385,13.8778257,16.0144463,14.0342169,11.56119793,14.64216297,13.89495373,9.390900923,2.12,1.9,1.91,1.95,1.82,1.33,1.33,1.24,0.35,-0.51,-0.29,-0.35,1.066666667,365,0,1,-18,-9,-143,-201,-125,-91,-2,38,24,26,35,36,85,-2,20,78,-43,-111,-78,-70,-2,21,-2,-8,12,19,2,0.918,0.797,0.159,0.195,0.655,1.202,1.603,1.739,1.435,0.698,0.167,-0.31,0.7628
2017,DI,97,66,58,53,52,0.680412371,0.597938144,0.896551724,0.748325199,0.640926273,1.111922122,14.9705744,13.2505379,13.3672504,8.94782734,7.89106798,8.26288795,9.61115742,10.5190678,12.1105299,14.0106173,13.3537035,13.1113949,10.74691837,13.49190523,13.86278757,8.36726109,-0.61,-0.52,-0.35,-0.41,-0.41,-0.58,-0.2,0.18,-0.28,-0.68,-0.76,-0.8,-0.451666667,179,98,4,-112,-186,-23,-119,-39,-62,-37,10,11,39,32,-27,82,0,-73,-98,77,-29,8,-41,-37,-7,-15,6,10,-44,1,-0.583,-0.593,0.555,0.274,-0.025,-0.133,0.151,0.554,0.219,0.019,-0.411,-0.322,0.1644
2018,DI,108,77,66,52,50,0.712962963,0.611111111,0.757575758,0.793714733,0.657463556,0.859591161,13.9344816,14.6432142,10.736249,9.68061066,8.58251381,8.99869156,9.10664082,10.8280811,12.978159,14.7728443,15.8598394,15.6419964,10.97096031,15.42489337,13.10464827,9.08727201,-0.63,-0.63,-0.74,-0.78,-0.7,-0.79,-1.3,-0.93,-0.51,-0.16,0.36,0.52,-0.524166667,149,182,2,-3,-137,-28,-185,9,-8,-14,29,9,43,35,15,87,-1,35,-49,72,-95,56,13,-14,12,-16,9,13,-2,6,-0.006,-0.314,-0.388,-0.251,0.072,-0.312,-0.58,-0.651,-0.516,-0.85,-0.02,-0.219,-0.2918
2010,PI,92,70,66,59,53,0.760869565,0.717391304,0.803030303,0.864652115,0.800050544,0.932362865,14.146719,10.125,9.24834728,7.72490644,7.13714647,8.09166622,8.68005562,8.74333286,10.6683331,10.4633331,12.8924999,11.8649998,9.363907193,11.7402776,11.17335543,7.65123971,0.57,1.05,0.96,0.94,1.28,1.32,0.49,-0.16,-1.31,-2.41,-2.39,-2.27,-0.160833333,161,159,0,-12,-109,-80,-258,-111,-43,1,12,17,59,17,13,93,-4,26,-21,20,-168,-63,-22,1,-5,-8,26,-6,-4,12,0.329,0.132,-0.718,-0.261,0.298,0.298,-0.001,-0.021,-0.17,-0.799,-1.586,-1.707,-0.0768
