Image downloaded from NWFSC Ocean Ecosystem Indicators (https://www.nwfsc.noaa.gov/research/divisions/fe/estuarine/oeip/ec-biological-spring-trans.cfm) on 4/20/2019,,,
Converted by OCR at https://ocr.space/ and manually edited in Excel,,,
,,,
****** Result for Image/Page 1 ******,,,
"Table BST-OI. Historical dates of the biological spring transition, as ",,,
measured by the timing of change in the zooplankton from a ,,,
winter to a summer community. ,,,
,,,
Arrival of cold-water copepod ,,,Length of cold-water copepod 
community ,,,presence 
Year ,Start date ,End date ,(in days) 
1970,20-Mar,20-Oct,214
1971,20-Mar,6-Nov,231
1983,21-Jul,19-Aug,29
1996,11-Jun,7-Oct,88
1997,15-May,27-Aug,104
1998,Never ,Never ,0
1999,14-May,4-Nov,174
2000,6-Apr,23-Oct,200
2001,11-Apr,7-Nov,210
2002,18-Apr,1-Nov,197
2003,5-Jun,26-Sep,113
2004,25-May,14-Oct,142
2005,26-Aug,28-Sep,33
2006,7-Jun,31-Oct,146
2007,22-Mar,10-Dec,263
2008,4-Mar,27-Oct,237
2009,6-Mar,1-Dec,270
2010,18-Jun,24-Nov,159
2011,23-Mar,29-Sep,190
2012,4-May,25-Oct,174
2013,1-Apr,26-Sep,178
2014,6-May,25-Sep,142
2015,Never ,Never ,0
2016,Never ,Never ,0
2017,28-Jun,4-Oct,98
2018,29-May,27-Nov,182
